id,question,A,B,C,D,E,answer,category,macro category
54,quale tra i seguenti termini non viene utilizzato per indicare un disturbo causato da un medicinale in un determinato individuo?,adverse drug reaction.,segnale.,evento avverso.,reazione avversa,disturbo iatrogeno.,B,Area Preclinica 2016,farmacologia
58,quale dei seguenti fans ha minore potenziale gastrotossico?,acido acetil salicilico,diclofenac,indometacina,paracetamolo,sulindac,D,Area Preclinica 2016,farmacologia
96,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamidia,B,Area Preclinica 2016,farmacologia
136,la somministrazione di amminofillina endovena non causa:,vertigini,ipertensione,precordialgia,cefalea,nausea,B,Area Preclinica 2016,farmacologia
148,nel trattamento di una faringite stafilococcica l'antibiotico da scegliere è:,fenossimetilpenicillina,rifampicina,tobramicina,cotrimossazolo,vancomicina,A,Area Preclinica 2016,farmacologia
151,"le seguenti caratteristiche sono proprie dei farmaci ""generici"" tranne:",sono prodotti industrialmente.,sono utili per molteplici patologie in quanto non specifici.,sono bioequivalenti rispetto alla specialità di riferimento.,non sono protetti da brevetto.,sono senza obbligo di prescrizione.,B,Area Preclinica 2016,farmacologia
166,le ricette ripetibili:,"sono relative ai farmaci elencati nelle tabelle i, ii e iii del d.p.r. 309/90.",possono essere utilizzate per 3 mesi e fino ad un massimo di 5 volte.,hanno validità massima di 10 giorni.,possono essere utilizzate una sola volta.,sono rilasciate solo da centri ospedalieri o specialistici.,B,Area Preclinica 2016,farmacologia
181,in quale delle sequenti malattie non si prospetta la terapia genica?,fibrosi cistica,emofilia,ulcera gastrica,tumori,aids,C,Area Preclinica 2016,farmacologia
239,il mannitolo è:,un anticoagulante orale,un diuretico osmotico,un beta-bloccante,un calcio-antagonista,un antidoto che chela il piombo,B,Area Preclinica 2016,farmacologia
245,la dose orale di morfina considerate equivalente a 10 mg intramuscolo è:,5 mg,20 mg,30 mg,50 mg,80 mg,C,Area Preclinica 2016,farmacologia
277,per effetto di primo passaggio si intende:,il primo effetto che un farmaco determina quando ha raggiunto la sede d'azione,gli effetti neurologici che un farmaco dà nel suo primo passaggio nel sistema nervoso centrale,l'estesa biotrasformazione che il farmaco subisce nel suo primo passaggio attraverso il fegato,l'estesa eliminazione del farmaco nel suo primo passaggio attraverso il rene,l'effeto intestinale di un farmaco somministrato per os,C,Area Preclinica 2016,farmacologia
311,qual'è l'impiego terapeutico della ciclofosfamide?,spasmolitico,antistaminico,vasodilatatore,antineoplastico e immunosoppressore,tutte le indicazioni sono corrette,D,Area Preclinica 2016,farmacologia
