id,question,A,B,C,D,E,answer,category,macro category
43,"un chirurgo generale visita un paziente di 45 anni in eccellenti condizioni generali con un piccolo sanguinamento rettale. esegue anche una rettoscopia e trova a otto centimetri dal margine anale un polipo di due centimetri di diametro, liscio e dalla superficie vellutata. le biopsie eseguite dimostrano che la lesione è un adenoma villoso. come si comporterà ora il chirurgo?",eseguirà immediatamente una resezione-anastomosi del retto per via anteriore,coagulerà per via endoscopica la lesione,eseguirà una sigmoidoscopia con strumento flessibile,farà eseguire un clisma opaco,terrà il paziente sotto osservazione sottoponendolo periodicamente a biopsie,D,Area Clinica 2016,chirurgia generale
132,"di fronte a una paziente con stillicidio ematico del capezzolo, qual'è l'esame di prima scelta che è più indicato eseguire:",ecografia mammaria,duttogalattografia,mammografia,agoaspirato della lesione palpabile,tac,B,Area Clinica 2016,chirurgia generale
133,a quanti cm. dalla valvola ileo-cecale si reperta più frequentemente il diverticolo di meckel:,a 40 cm.,a 10 cm.,a 80 cm,a 1 metro,"a 1 ,5 metro",C,Area Clinica 2016,chirurgia generale
151,"donna di 90 anni con neoplasia di 3 cm. di diametro, localizzata al quadrante supero-esterno della mammella dx. senza evidenti metastasi a distanza. la paziente gode di un ottimo stato di salute, è autonoma nella sua vita di relazione e vive in famiglia. quale tra le seguenti è l'opzione terapeutica più ragionevole?",non si opera,si opera con mastectomia radicale conservando i muscoli pettorali,si esegue una mastectomia radicale conservando i muscoli pettorali ed una linfoadenectomia ascellare.,si esegue tumorectomia in anestesia locale,si esegue mastectomia sottocutanea,C,Area Clinica 2016,chirurgia generale
178,a quale dei seguenti requisiti risponde una neoplasia mammaria classificata allo stadio i?,neoplasia di grandezza variabile da 2 a 5 cm,assenza di linfonodi omolaterali palpabili,assenza di metastasi,a tutti i requisiti indicati,a nessuno dei requisiti indicati,D,Area Clinica 2016,chirurgia generale
230,il test di perthes valuta:,la pervietà del circolo venoso profondo,la continenza del circolo venoso superficiale,il flusso del circolo arterioso,la funzionalità del circolo linfatico,la continenza delle vene perforanti,A,Area Clinica 2016,chirurgia generale
267,un episodio di melena in un paziente portatore di un by-pass aorto-bi-femorale deve far sospettare come piu' probabile quale delle seguenti:,un'ulcera da stress,una fistola aorto-duodenale,infarto mesenterico,altra patologia emorragica gastro-enterica,diverticolo di meckel,B,Area Clinica 2016,chirurgia generale
272,"in caso di emorragia postoperatoria di una tiroidectomia, l'ematoma conseguente si espande al di dietro dei muscoli lunghi del collo e puo' deformare la trachea e minacciare la pervieta' delle vie respiratorie sia per compressione che per edema laringeo. in assenza di evidenti segni di asfissia, qual' e' il procedimento da attuare?",non fare alcunche' ed osservare l'evoluzione,portare tempestivamente il paziente in sala operatoria per esplorare la loggia tiroidea e procedere ad una corretta emostasi,mettere i drenaggi in aspirazione,procedere immediatamente ad una tracheotomia al letto del paziente,far saltare i punti della ferita chirurgica al letto del paziente,B,Area Clinica 2016,chirurgia generale
313,qual'e' la percentuale di tumori della mammella sovra-diagnosticati (in altre parole: la percentuale di tumori scoperti allo screening che non avrebbero mai dato luogo a sintomatologia clinica)?,31%,21%,11%,1%,5%,A,Area Clinica 2016,chirurgia generale
317,le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a :,durata del trattamento,) dosaggio del trattamento,durata e dosaggio del trattamento,"non e' correlata ne' al dosaggio , ne' alla durata",e' un'affermazione senza fondamento scientifico,C,Area Clinica 2016,chirurgia generale
